Num,Name,Name_pt,Name_es,Map,Zone,Health,VaccinePower,DataPower,VirusPower,Penalty,IsRandom,Location,IsZoneBoss,LootTableID,BitsWon (range of random bits - random range if second number is greater than first),BossParadeMessage,AppearanceChance/100,Time
38,127,127,127,1,3,15,40,60,180,300,FALSE,7000,FALSE,13,100t200,null,100,None
39,201,201,201,1,3,20,185,30,45,300,FALSE,8000,FALSE,3,100t200,null,100,None
40,128,128,128,1,3,15,40,60,190,300,FALSE,9000,FALSE,13,100t200,null,100,None
41,112,112,112,1,3,15,60,90,195,300,FALSE,10000,FALSE,13,100t200,null,100,None
42,129,129,129,1,3,15,30,45,200,300,FALSE,11000,FALSE,4,150t300,null,100,None
43,202,202,202,1,3,20,60,205,40,300,FALSE,12000,FALSE,5,150t300,null,100,None
44,203,203,203,1,3,20,40,60,210,300,FALSE,13000,FALSE,6,380t750,null,100,None
45,274,274,274,1,3,25,70,80,215,500,FALSE,14000,TRUE,21,1000,null,100,None
46,124,124,124,1,2,15,50,100,30,150,TRUE,8400,FALSE,12,0t25,null,100,None
47,136,136,136,1,3,15,145,20,35,150,TRUE,0,FALSE,11,0t30,null,100,None
48,32,32,32,1,3,14,10,50,150,150,TRUE,600,FALSE,13,0t20,null,100,None
49,275,275,275,1,4,25,80,220,70,300,FALSE,1000,FALSE,20,250t500,null,100,None
50,276,276,276,1,4,25,70,80,225,300,FALSE,2000,FALSE,21,250t500,null,100,None
51,277,277,277,1,4,25,45,55,230,300,FALSE,3000,FALSE,21,250t500,null,100,None
52,278,278,278,1,4,25,70,30,235,300,FALSE,4000,FALSE,7,250t500,null,100,None
53,204,204,204,1,4,20,40,265,20,300,FALSE,10000,FALSE,20,250t500,null,100,None
54,275,275,275,1,4,25,100,295,50,500,FALSE,16000,TRUE,20,1000,null,100,None
55,207,207,207,1,4,20,30,235,20,150,TRUE,4000,FALSE,20,0t40,null,100,None
56,95,95,95,1,3,15,40,180,20,150,TRUE,0,FALSE,12,0t30,null,100,None
57,206,206,206,1,4,20,20,30,215,150,TRUE,0,FALSE,21,0t40,null,100,None
58,205,205,205,1,4,20,45,55,220,150,TRUE,0,FALSE,21,0t40,null,100,None
59,117,117,117,1,4,15,25,75,200,150,TRUE,0,FALSE,13,0t20,null,100,None
60,209,209,209,1,5,20,50,100,300,300,FALSE,3600,FALSE,21,300t600,null,100,None
61,279,279,279,1,5,25,100,315,10,300,FALSE,7200,FALSE,20,300t600,null,100,None
62,280,280,280,1,5,25,320,55,65,300,FALSE,8200,FALSE,8,300t600,null,100,None
63,281,281,281,1,5,25,30,150,350,300,FALSE,14400,FALSE,21,300t600,null,100,None
64,277,277,277,1,5,25,50,150,365,500,FALSE,18000,TRUE,21,1250,null,100,None
65,130,130,130,1,5,15,60,275,40,150,TRUE,0,FALSE,12,0t40,null,100,None
66,208,208,208,1,5,20,40,60,295,150,TRUE,0,FALSE,21,0t50,null,100,None
67,131,131,131,1,5,15,40,60,285,150,TRUE,0,FALSE,13,0t40,null,100,None
68,132,132,132,1,5,15,70,80,275,150,TRUE,0,FALSE,13,0t40,null,100,None
69,210,210,210,1,6,20,70,80,370,300,FALSE,5000,FALSE,21,380t750,null,100,None
70,211,211,211,1,6,20,80,120,395,300,FALSE,10000,FALSE,21,380t750,null,100,None
71,212,212,212,1,6,20,130,140,420,300,FALSE,15000,FALSE,21,380t750,null,100,None
72,276,276,276,1,6,25,50,150,445,500,FALSE,20000,TRUE,21,1500,null,100,None
73,133,133,133,1,6,15,60,90,370,150,TRUE,0,FALSE,13,0t50,null,100,None
74,134,134,134,1,6,15,150,350,100,150,TRUE,0,FALSE,12,0t50,null,100,None
75,197,197,197,1,6,20,80,120,380,150,TRUE,0,FALSE,21,0t60,null,100,None
76,213,213,213,1,6,20,150,375,50,150,TRUE,0,FALSE,20,0t60,null,100,None
77,214,214,214,1,6,15,50,170,365,150,TRUE,0,FALSE,13,0t60,null,100,None
78,215,215,215,1,7,20,50,200,450,300,FALSE,1000,FALSE,21,500t1000,null,100,None
79,278,278,278,1,7,25,100,200,490,500,FALSE,18000,TRUE,9,1750,null,100,None
80,295,295,295,1,7,30,125,225,500,500,FALSE,22000,TRUE,10,2000,Você salvou<br>o Mundo<br>Datatal!,100,None
81,119,119,119,1,7,15,100,200,440,150,TRUE,0,FALSE,13,0t60,null,100,None
82,216,216,216,1,7,20,70,130,450,150,TRUE,0,FALSE,21,0t75,null,100,None
83,195,195,195,1,7,20,100,150,430,150,TRUE,0,FALSE,21,0t75,null,100,None
84,94,94,94,1,7,15,50,150,455,150,TRUE,0,FALSE,13,0t75,null,100,None
85,217,217,217,1,7,20,150,445,100,150,TRUE,0,FALSE,20,0t75,null,100,None
86,210,210,210,1,7,20,100,150,460,150,TRUE,0,FALSE,21,0t75,null,100,None
87,211,211,211,1,7,20,75,175,460,150,TRUE,0,FALSE,21,0t75,null,100,None
88,284,284,284,1,7,25,75,175,475,150,TRUE,18000,FALSE,21,0t100,null,100,None
89,33,33,33,1,1,7,0,10,40,150,TRUE,6100,FALSE,13,0t10,null,100,None
90,32,32,32,1,1,7,0,5,45,150,TRUE,6100,FALSE,13,0t10,null,100,None
91,104,104,104,1,1,8,50,0,20,150,TRUE,5700,FALSE,11,0t20,null,100,None
92,121,121,121,1,1,7,0,20,50,150,TRUE,8600,FALSE,13,0t20,null,100,None
93,125,125,125,1,2,15,30,150,0,150,TRUE,8400,FALSE,12,0t25,null,100,None
94,33,33,33,1,2,10,0,50,100,150,TRUE,1800,FALSE,13,0t10,null,100,None
95,84,84,84,1,2,15,95,40,20,150,TRUE,900,FALSE,11,0t20,null,100,None
96,114,114,114,1,3,15,40,60,160,150,TRUE,8000,FALSE,13,0t30,null,100,None
97,216,216,216,1,3,20,40,60,180,150,TRUE,8000,FALSE,21,0t40,null,100,None
98,124,124,124,1,3,15,60,160,50,150,TRUE,0,FALSE,12,0t30,null,100,None
99,122,122,122,1,3,15,80,120,70,150,TRUE,0,FALSE,12,0t30,null,100,None
100,88,88,88,1,4,15,25,200,75,150,TRUE,0,FALSE,12,0t40,null,100,None
101,84,84,84,1,4,15,200,25,75,150,TRUE,0,FALSE,11,0t30,null,100,None
102,202,202,202,1,4,20,60,205,40,150,TRUE,0,FALSE,20,0t40,null,100,None
103,209,209,209,1,5,20,40,90,250,150,TRUE,3600,FALSE,21,0t50,null,100,None
104,360,360,360,1,5,15,20,50,300,150,TRUE,0,FALSE,13,0t40,null,100,None
105,109,109,109,1,5,15,90,120,200,150,TRUE,0,FALSE,13,0t40,null,100,None
106,112,112,112,1,6,15,120,150,300,150,TRUE,0,FALSE,13,0t50,null,100,None
107,251,251,251,1,6,20,150,160,320,150,TRUE,0,FALSE,21,0t60,null,100,None
108,103,103,103,1,1,5,30,0,10,150,TRUE,2000,FALSE,11,0t10,null,100,None
109,182,182,182,1,1,7,50,0,20,150,TRUE,7900,FALSE,11,0t20,null,100,None
110,125,125,125,2,1,5,1,25,0,300,FALSE,800,FALSE,23,5t10,null,100,None
111,675,675,675,2,1,5,25,5,10,300,FALSE,1600,FALSE,24,7t15,null,100,None
112,122,122,122,2,1,6,10,40,5,300,FALSE,2400,FALSE,25,10t20,null,100,None
113,135,135,135,2,1,6,40,10,5,300,FALSE,3200,FALSE,26,12t25,null,100,None
114,124,124,124,2,1,7,20,50,10,300,FALSE,4000,FALSE,27,15t30,null,100,None
115,132,132,132,2,1,7,10,20,50,300,FALSE,4800,FALSE,13,18t35,null,100,None
116,137,137,137,2,1,8,20,50,10,300,FALSE,5600,FALSE,12,20t40,null,100,None
117,178,178,178,2,1,8,10,30,60,300,FALSE,6400,FALSE,13,23t45,null,100,None
118,191,191,191,2,1,9,80,10,40,300,FALSE,7200,FALSE,11,25t50,null,100,None
119,111,111,111,2,1,9,10,40,80,300,FALSE,8000,FALSE,13,35t70,null,100,None
120,195,195,195,2,1,10,10,50,100,300,FALSE,8800,FALSE,13,38t75,null,100,None
121,241,241,241,2,1,10,30,60,120,500,FALSE,10000,TRUE,28,100,null,100,None
122,116,116,116,2,1,5,0,1,15,150,TRUE,0,FALSE,13,0t5,null,100,None
123,33,33,33,2,1,5,0,1,20,150,TRUE,0,FALSE,13,0t6,null,100,None
124,28,28,28,2,1,5,1,20,0,150,TRUE,0,FALSE,12,0t7,null,100,None
125,65,65,65,2,1,6,0,10,20,150,TRUE,3200,FALSE,13,0t8,null,100,None
126,114,114,114,2,1,6,10,20,30,150,TRUE,4000,FALSE,13,0t9,null,100,None
127,109,109,109,2,1,6,1,20,30,150,TRUE,4800,FALSE,13,0t10,null,100,None
128,136,136,136,2,1,7,40,10,20,150,TRUE,5600,FALSE,11,0t11,null,100,None
129,106,106,106,2,1,7,20,40,10,150,TRUE,5600,FALSE,12,0t12,null,100,None
130,142,142,142,2,1,7,5,10,50,150,TRUE,6400,FALSE,13,0t13,null,100,None
131,89,89,89,2,1,7,30,50,20,150,TRUE,7200,FALSE,12,0t14,null,100,None
132,133,133,133,2,1,7,20,30,50,150,TRUE,7200,FALSE,13,0t15,null,100,None
133,121,121,121,2,1,8,10,20,60,150,TRUE,8000,FALSE,13,0t16,null,100,None
134,90,90,90,2,1,8,60,10,20,150,TRUE,8000,FALSE,11,0t17,null,100,None
135,95,95,95,2,1,9,30,70,20,150,TRUE,8800,FALSE,12,0t18,null,100,None
136,129,129,129,2,1,9,20,40,70,150,TRUE,8800,FALSE,13,0t19,null,100,None
137,131,131,131,2,1,9,10,30,70,150,TRUE,8800,FALSE,13,0t20,null,100,None
138,148,148,148,2,1,9,5,50,70,150,TRUE,8800,FALSE,13,0t21,null,100,None
139,141,141,141,2,2,11,50,100,30,300,FALSE,1500,FALSE,12,38t75,null,100,None
140,206,206,206,2,2,11,10,50,130,300,FALSE,3000,FALSE,21,38t75,null,100,None
141,198,198,198,2,2,12,50,120,20,300,FALSE,4500,FALSE,33,50t100,null,100,None
142,200,200,200,2,2,12,20,60,120,300,FALSE,6000,FALSE,21,38t75,null,100,None
143,202,202,202,2,2,13,60,130,20,300,FALSE,7500,FALSE,29,38t75,null,100,None
144,127,127,127,2,2,13,20,70,140,300,FALSE,9000,FALSE,13,38t75,null,100,None
145,121,121,121,2,2,14,40,80,150,300,FALSE,10500,FALSE,13,50t100,null,100,None
146,480,480,480,2,2,15,70,160,50,500,FALSE,12000,TRUE,30,500,null,100,None
147,146,146,146,2,2,10,120,30,50,150,TRUE,0,FALSE,11,0t21,null,100,None
148,207,207,207,2,2,11,50,100,20,150,TRUE,3000,FALSE,12,0t25,null,100,None
149,176,176,176,2,2,11,50,100,40,150,TRUE,4500,FALSE,12,0t26,null,100,None
150,54,54,54,2,2,10,20,40,100,150,TRUE,0,FALSE,13,0t22,null,100,None
151,53,53,53,2,2,10,40,100,20,150,TRUE,0,FALSE,12,0t23,null,100,None
152,139,139,139,2,2,10,20,100,60,150,TRUE,0,FALSE,12,0t24,null,100,None
153,120,120,120,2,2,12,10,50,110,150,TRUE,9000,FALSE,13,0t27,null,100,None
154,675,675,675,2,2,12,110,10,50,150,TRUE,9000,FALSE,11,0t28,null,100,None
155,114,114,114,2,2,12,10,60,110,150,TRUE,9000,FALSE,13,0t29,null,100,None
156,129,129,129,2,2,12,10,80,110,150,TRUE,9000,FALSE,13,0t30,null,100,None
157,133,133,133,2,2,13,40,50,110,150,TRUE,10500,FALSE,13,0t31,null,100,None
158,131,131,131,2,2,13,30,50,110,150,TRUE,10500,FALSE,13,0t32,null,100,None
159,94,94,94,2,2,13,50,60,120,150,TRUE,10500,FALSE,13,0t33,null,100,None
160,116,116,116,2,3,10,10,60,150,150,TRUE,0,FALSE,13,0t34,null,100,None
161,142,142,142,2,3,13,20,80,150,150,TRUE,0,FALSE,13,0t35,null,100,None
162,132,132,132,2,3,15,50,80,150,150,TRUE,0,FALSE,13,0t36,null,100,None
163,109,109,109,2,3,12,30,90,150,150,TRUE,0,FALSE,13,0t37,null,100,None
164,28,28,28,2,3,10,50,150,10,150,TRUE,0,FALSE,12,0t38,null,100,None
165,33,33,33,2,3,10,10,70,150,150,TRUE,0,FALSE,13,0t39,null,100,None
166,49,49,49,2,3,10,10,100,150,150,TRUE,0,FALSE,13,0t40,null,100,None
167,35,35,35,2,3,10,50,70,150,150,TRUE,0,FALSE,13,0t41,null,100,None
168,113,113,113,2,3,16,160,50,80,300,FALSE,2800,FALSE,11,50t100,null,100,None
169,127,127,127,2,3,15,30,70,160,150,TRUE,2800,FALSE,13,0t42,null,100,None
170,121,121,121,2,3,15,10,80,160,150,TRUE,2800,FALSE,13,0t43,null,100,None
171,131,131,131,2,3,15,50,80,160,150,TRUE,2800,FALSE,13,0t44,null,100,None
172,138,138,138,2,3,16,80,170,50,300,FALSE,5600,FALSE,12,50t100,null,100,None
173,675,675,675,2,3,16,170,80,30,150,TRUE,5600,FALSE,11,0t45,null,100,None
174,410,410,410,2,3,17,50,80,180,300,FALSE,8400,FALSE,13,50t100,null,100,None
175,177,177,177,2,3,18,40,60,190,300,FALSE,11200,FALSE,13,50t100,null,100,None
176,120,120,120,2,3,17,40,60,180,150,TRUE,11200,FALSE,13,0t46,null,100,None
177,102,102,102,2,3,18,30,70,195,150,TRUE,11200,FALSE,13,0t47,null,100,None
178,228,228,228,2,3,20,20,60,200,500,FALSE,14000,TRUE,31,1000,null,100,None
179,45,45,45,2,4,12,20,80,200,150,TRUE,0,FALSE,13,0t48,null,100,None
180,178,178,178,2,4,16,20,80,210,150,TRUE,0,FALSE,13,0t49,null,100,None
181,148,148,148,2,4,16,20,80,210,150,TRUE,0,FALSE,13,0t50,null,100,None
182,675,675,675,2,4,17,210,20,80,150,TRUE,0,FALSE,11,0t51,null,100,None
183,127,127,127,2,4,17,20,80,215,150,TRUE,0,FALSE,13,0t52,null,100,None
184,156,156,156,2,4,20,20,80,215,300,FALSE,2000,FALSE,21,75t125,null,100,None
185,555,555,555,2,4,20,215,20,80,300,FALSE,4000,FALSE,20,75t125,null,100,None
186,474,474,474,2,4,21,20,80,220,300,FALSE,6000,FALSE,21,75t125,null,100,None
187,604,604,604,2,4,21,20,80,220,300,FALSE,8000,FALSE,21,75t125,null,100,None
188,235,235,235,2,4,21,80,220,20,300,FALSE,10000,FALSE,20,75t125,null,100,None
189,131,131,131,2,4,18,20,80,220,150,TRUE,8500,FALSE,21,0t53,null,100,None
190,120,120,120,2,4,18,50,80,220,150,TRUE,8500,FALSE,21,0t54,null,100,None
191,776,776,776,2,4,18,1,100,220,150,TRUE,8500,FALSE,21,0t55,null,100,None
192,231,231,231,2,4,21,100,220,20,300,FALSE,12000,FALSE,20,75t125,null,100,None
193,201,201,201,2,4,20,220,20,100,150,TRUE,10500,FALSE,19,0t56,null,100,None
194,604,604,604,2,4,20,20,100,220,150,TRUE,10500,FALSE,21,0t57,null,100,None
195,474,474,474,2,4,20,1,120,220,150,TRUE,10500,FALSE,21,0t58,null,100,None
196,683,683,683,2,4,21,60,80,225,300,FALSE,14000,FALSE,21,75t125,null,100,None
197,143,143,143,2,4,18,220,80,60,150,TRUE,12500,FALSE,19,0t59,null,100,None
198,299,299,299,2,4,22,70,100,230,500,FALSE,16000,TRUE,32,1500,null,100,None
199,210,210,210,2,5,22,100,100,230,300,FALSE,2000,FALSE,21,100t150,null,100,None
200,129,129,129,2,5,20,80,100,230,150,TRUE,0,FALSE,21,0t61,null,100,None
201,121,121,121,2,5,18,80,100,220,150,TRUE,0,FALSE,21,0t62,null,100,None
202,116,116,116,2,5,15,50,60,300,150,TRUE,0,FALSE,21,0t60,null,100,None
203,120,120,120,2,5,18,100,110,200,150,TRUE,0,FALSE,21,0t64,null,100,None
204,675,675,675,2,5,18,200,100,110,150,TRUE,0,FALSE,19,0t63,null,100,None
205,192,192,192,2,5,22,240,80,110,300,FALSE,4000,FALSE,19,100t150,null,100,None
206,216,216,216,2,5,22,80,110,240,300,FALSE,6000,FALSE,21,100t150,null,100,None
207,227,227,227,2,5,22,110,240,80,300,FALSE,8000,FALSE,20,100t150,null,100,None
208,604,604,604,2,5,20,80,110,230,150,TRUE,6500,FALSE,21,0t65,null,100,None
209,212,212,212,2,5,20,100,110,210,150,TRUE,6500,FALSE,21,0t66,null,100,None
210,231,231,231,2,5,20,110,210,100,150,TRUE,6500,FALSE,20,0t67,null,100,None
211,122,122,122,2,5,18,100,240,60,150,TRUE,6500,FALSE,20,0t68,null,100,None
212,209,209,209,2,5,22,60,100,250,300,FALSE,10000,FALSE,21,100t150,null,100,None
213,204,204,204,2,5,22,110,250,60,300,FALSE,12000,FALSE,20,100t150,null,100,None
214,128,128,128,2,5,18,60,110,240,150,TRUE,10500,FALSE,21,0t69,null,100,None
215,106,106,106,2,5,18,100,250,60,150,TRUE,10500,FALSE,20,0t70,null,100,None
216,137,137,137,2,5,18,150,200,60,150,TRUE,10500,FALSE,20,0t71,null,100,None
217,238,238,238,2,5,22,250,50,120,300,FALSE,14000,FALSE,19,100t150,null,100,None
218,237,237,237,2,5,20,110,240,60,150,TRUE,12500,FALSE,20,0t72,null,100,None
219,232,232,232,2,5,20,140,200,70,150,TRUE,12500,FALSE,20,0t73,null,100,None
220,213,213,213,2,5,20,110,200,100,150,TRUE,12500,FALSE,20,0t74,null,100,None
221,201,201,201,2,5,22,250,100,60,300,FALSE,16000,FALSE,19,100t150,null,100,None
222,177,177,177,2,5,20,80,120,240,150,TRUE,14500,FALSE,21,0t75,null,100,None
223,127,127,127,2,5,18,60,80,300,150,TRUE,14500,FALSE,21,0t76,null,100,None
224,148,148,148,2,5,18,40,120,260,150,TRUE,14500,FALSE,21,0t77,null,100,None
225,421,421,421,2,5,23,1,160,340,500,FALSE,18000,TRUE,21,2000,null,100,None
226,215,215,215,2,6,23,50,150,300,300,FALSE,5000,FALSE,21,125t175,null,100,None
227,474,474,474,2,6,20,1,200,300,150,TRUE,0,FALSE,21,0t78,null,100,None
228,604,604,604,2,6,20,50,150,300,150,TRUE,0,FALSE,21,0t79,null,100,None
229,102,102,102,2,6,16,1,100,400,150,TRUE,0,FALSE,21,0t80,null,100,None
230,121,121,121,2,6,16,100,150,250,150,TRUE,0,FALSE,21,0t81,null,100,None
231,129,129,129,2,6,16,125,175,200,150,TRUE,0,FALSE,21,0t82,null,100,None
232,421,421,421,2,6,20,1,1,500,150,TRUE,0,FALSE,21,0t83,null,100,None
233,195,195,195,2,6,20,100,125,275,150,TRUE,0,FALSE,21,0t84,null,100,None
234,205,205,205,2,6,23,100,150,300,300,FALSE,10000,FALSE,21,125t175,null,100,None
235,206,206,206,2,6,20,75,150,300,150,TRUE,5500,FALSE,21,0t85,null,100,None
236,207,207,207,2,6,20,125,300,100,150,TRUE,5500,FALSE,20,0t86,null,100,None
237,284,284,284,2,6,24,1,1,550,300,FALSE,15000,FALSE,21,125t175,null,100,None
238,776,776,776,2,6,18,1,100,400,150,TRUE,10500,FALSE,21,0t87,null,100,None
239,299,299,299,2,6,25,50,100,450,500,FALSE,20000,TRUE,21,2500,null,100,None
240,676,676,676,2,7,30,50,100,550,500,FALSE,22000,TRUE,21,3000,Você salvou<br>o Mundo<br>Datatal!,100,None
241,474,474,474,2,7,20,150,200,250,150,TRUE,0,FALSE,21,0t88,null,100,None
242,604,604,604,2,7,20,100,225,275,150,TRUE,0,FALSE,21,0t89,null,100,None
243,206,206,206,2,7,20,50,150,400,150,TRUE,0,FALSE,21,0t90,null,100,None
244,205,205,205,2,7,20,0,150,450,150,TRUE,0,FALSE,21,0t91,null,100,None
245,203,203,203,2,7,20,25,125,475,150,TRUE,0,FALSE,21,0t92,null,100,None
246,766,766,766,2,7,20,1,100,500,150,TRUE,0,FALSE,21,0t93,null,100,None
247,239,239,239,2,7,20,500,25,75,150,TRUE,0,FALSE,19,0t94,null,100,None
248,274,274,274,2,7,25,25,50,525,150,TRUE,5000,FALSE,21,0t95,null,100,None
249,373,373,373,2,7,25,100,150,375,150,TRUE,5000,FALSE,21,0t96,null,100,None
250,805,805,805,2,7,25,25,50,550,150,TRUE,5000,FALSE,21,0t97,null,100,None
251,799,799,799,2,7,25,1,25,600,150,TRUE,5000,FALSE,21,0t98,null,100,None
252,770,770,770,2,7,20,50,75,500,150,TRUE,5000,FALSE,21,0t99,null,100,None
253,421,421,421,2,7,20,100,125,400,150,TRUE,10000,FALSE,21,0t100,null,100,None
254,284,284,284,2,7,25,1,1,650,150,TRUE,10000,FALSE,21,0t101,null,100,None
255,804,804,804,2,7,25,25,50,575,150,TRUE,10000,FALSE,21,0t102,null,100,None
256,825,825,825,2,7,25,75,125,450,150,TRUE,10000,FALSE,21,0t103,null,100,None
257,480,480,480,2,7,20,150,400,100,150,TRUE,10000,FALSE,20,0t104,null,100,None
258,580,580,580,2,7,25,50,75,525,150,TRUE,15000,FALSE,21,0t105,null,100,None
259,430,430,430,2,7,25,75,150,450,150,TRUE,15000,FALSE,21,0t106,null,100,None
260,427,427,427,2,7,25,1,25,650,150,TRUE,15000,FALSE,21,0t107,null,100,None
261,328,328,328,2,7,25,25,50,625,150,TRUE,15000,FALSE,21,0t108,null,100,None
262,755,755,755,2,7,25,100,150,425,150,TRUE,15000,FALSE,21,0t109,null,100,None
263,829,829,829,3,1,10,50,1,25,150,TRUE,0,FALSE,34,0t10,null,100,None
264,41,41,41,3,1,10,25,50,1,150,TRUE,0,FALSE,35,0t11,null,100,None
265,406,406,406,3,1,10,40,10,25,150,TRUE,0,FALSE,34,0t12,null,100,None
266,404,404,404,3,1,10,1,25,50,150,TRUE,0,FALSE,36,0t13,null,100,None
267,835,835,835,3,1,10,10,25,40,150,TRUE,0,FALSE,36,0t14,null,100,None
268,834,834,834,3,1,12,1,10,90,150,TRUE,1500,FALSE,36,0t15,null,100,None
269,1308,1308,1308,3,1,15,1,50,100,300,FALSE,3000,FALSE,36,50t100,null,100,None
270,851,851,851,3,1,12,90,1,10,150,TRUE,1500,FALSE,34,0t16,null,100,None
271,86,86,86,3,1,15,50,100,1,150,TRUE,3000,FALSE,35,0t17,null,100,None
272,1233,1233,1233,3,1,15,25,125,1,150,TRUE,3000,FALSE,35,0t18,null,100,None
273,414,414,414,3,1,15,100,1,50,150,TRUE,3000,FALSE,34,0t19,null,100,None
274,457,457,457,3,1,15,50,75,25,150,TRUE,3000,FALSE,35,0t20,null,100,None
275,184,184,184,3,1,15,25,50,75,150,TRUE,3000,FALSE,36,0t21,null,100,None
276,415,415,415,3,1,15,75,25,50,150,TRUE,3000,FALSE,34,0t22,null,100,None
277,1309,1309,1309,3,1,12,10,90,1,150,TRUE,1500,FALSE,35,0t23,null,100,None
278,1098,1098,1098,3,1,12,25,75,1,150,TRUE,1500,FALSE,35,0t24,null,100,None
279,838,838,838,3,1,12,30,60,10,150,TRUE,1500,FALSE,35,0t25,null,100,None
280,1310,1310,1310,3,1,20,1,10,190,500,FALSE,6500,TRUE,39,1000,null,100,None
281,1310,1310,1310,3,2,20,1,25,225,150,TRUE,0,FALSE,39,0t26,null,100,None
282,1232,1232,1232,3,2,20,50,200,1,150,TRUE,0,FALSE,38,0t27,null,100,None
283,845,845,845,3,2,20,150,1,100,150,TRUE,0,FALSE,37,0t28,null,100,None
284,258,258,258,3,2,20,100,150,1,150,TRUE,0,FALSE,38,0t29,null,100,None
285,420,420,420,3,2,20,200,1,50,150,TRUE,0,FALSE,37,0t30,null,100,None
286,1311,1311,1311,3,2,20,75,125,50,150,TRUE,0,FALSE,38,0t31,null,100,None
287,990,990,990,3,2,20,50,200,1,150,TRUE,0,FALSE,38,0t32,null,100,None
288,426,426,426,3,2,20,125,50,75,150,TRUE,0,FALSE,37,0t33,null,100,None
289,848,848,848,3,2,20,1,50,200,150,TRUE,0,FALSE,39,0t34,null,100,None
290,847,847,847,3,2,20,80,100,70,150,TRUE,0,FALSE,38,0t35,null,100,None
291,266,266,266,3,2,20,50,75,125,150,TRUE,0,FALSE,39,0t36,null,100,None
292,479,479,479,3,2,20,1,1,250,150,TRUE,0,FALSE,39,0t37,null,100,None
