LineID,Stage,DexNum,Parents,Rule,Bedtime,Notes
ver2,Champion,109,34;43,CM 3+,21:00,Vegimon (canon Whamon slot folds in: corpus stages Whamon as Ultimate)
ver2,Ultimate,195,140;101;97,WIN 12/15,24:00,SkullGreymon
ver2,Ultimate,213,108;136,WIN 12/15,23:00,MetalMamemon (canon also feeds from Whamon: corpus gap)
ver2,Ultimate,199,109,WIN 12/15,23:00,Vademon (canon dead end)
ver2,Mega,290,195,CM 0-2,24:00,SkullMammothmon
ver2,Mega,398,213,CM 0-2,23:00,CresGarurumon
ver2,Mega,399,398,JOGRESS 297,23:00,Omnimon Alter-S (jogress with BlitzGreymon; canon Tag Battle capstone)
ver3,Fresh,1413,egg,TIME,20:00,Poyomon
ver3,InTraining,1456,1413,TIME,21:00,Tokomon
ver3,Rookie,31,1456,CM 0-2,21:00,Patamon
ver3,Rookie,45,1456,CM 3+,22:00,Kunemon
ver3,Champion,98,31,"CM 0-2, TR 16+",22:00,Unimon
ver3,Champion,91,31,"CM 0-2, TR 0-15",24:00,Ogremon
ver3,Champion,121,31,"CM 3+, TR 16+, OF 3+",24:00,Bakemon
ver3,Champion,87,31,"CM 3+, TR 5-15, OF 3+",23:00,Centarumon
ver3,Champion,91,45,"CM 0-2, TR 16+",24:00,Ogremon (Kunemon road)
ver3,Champion,106,45,"CM 0-2, TR 0-15",22:00,Shellmon
ver3,Champion,121,45,"CM 3+, TR 8-15, OF 0-2",24:00,Bakemon (Kunemon road)
ver3,Champion,122,45,"CM 3+, TR 16+, OF 3+",22:00,Drimogemon
ver3,Champion,117,31;45,CM 3+,21:00,Sukamon
ver3,Ultimate,191,98;91;106,WIN 12/15,24:00,Andromon
ver3,Ultimate,238,87;121;122,WIN 12/15,24:00,Giromon (canon dead end)
ver3,Ultimate,194,117,WIN 12/15,24:00,Etemon
ver3,Mega,296,191,CM 0-2,24:00,HiAndromon
ver3,Mega,397,194,CM 0-2,24:00,KingEtemon
ver4,Fresh,1414,egg,TIME,20:00,Yuramon
ver4,InTraining,1461,1414,TIME,21:00,Tanemon
ver4,Rookie,46,1461,CM 0-2,21:00,Biyomon
ver4,Rookie,44,1461,CM 3+,22:00,Palmon
ver4,Champion,125,46,"CM 0-2, TR 16+",22:00,Monochromon
ver4,Champion,104,46,"CM 0-2, TR 0-15",22:00,Leomon
ver4,Champion,120,46,"CM 3+, TR 16+, OF 3+",23:00,Kuwagamon
ver4,Champion,123,46,"CM 3+, TR 5-15, OF 3+",22:00,Kokatorimon
ver4,Champion,104,44,"CM 0-2, TR 16+",22:00,Leomon (Palmon road)
ver4,Champion,88,44,"CM 0-2, TR 0-15",24:00,Coelamon
ver4,Champion,120,44,"CM 3+, TR 8-15, OF 0-2",23:00,Kuwagamon (Palmon road)
ver4,Champion,135,44,"CM 3+, TR 16+, OF 3+",24:00,Mojyamon
ver4,Champion,118,46;44,CM 3+,21:00,Nanimon
ver4,Ultimate,210,125;104;88,WIN 12/15,23:00,Megadramon
ver4,Ultimate,196,123;120;135,WIN 12/15,22:00,Piximon (Piccolomon) (canon dead end)
ver4,Ultimate,198,118,WIN 12/15,24:00,Eggmon
ver4,Mega,396,210,CM 0-2,24:00,Aegisdramon
ver4,Mega,395,198,CM 0-2,24:00,Titamon
ver4,Mega,393,396,JOGRESS 276,24:00,RustTyrannomon (jogress with Machinedramon; canon Tag Battle capstone)
ver5,Fresh,1415,egg,TIME,20:00,Zurumon
ver5,InTraining,1457,1415,TIME,21:00,Pagumon
ver5,Rookie,33,1457,CM 0-2,23:00,Gazimon
ver5,Rookie,35,1457,CM 3+,23:00,Gizamon (canon; Shamamon was never Ver.5)
ver5,Champion,129,33,"CM 0-2, TR 16+",24:00,DarkTyrannomon
ver5,Champion,94,33,"CM 0-2, TR 0-15",24:00,Devidramon
ver5,Champion,114,33,"CM 3+, TR 16+, OF 3+",24:00,Tuskmon
ver5,Champion,115,33,"CM 3+, TR 5-15, OF 3+",24:00,Cyclomon
ver5,Champion,94,35,"CM 0-2, TR 16+",24:00,Devidramon (Gizamon road)
ver5,Champion,148,35,"CM 0-2, TR 0-15",24:00,Flymon
ver5,Champion,114,35,"CM 3+, TR 8-15, OF 0-2",24:00,Tuskmon (Gizamon road)
ver5,Champion,111,35,"CM 3+, TR 16+, OF 3+",24:00,Deltamon
ver5,Champion,112,33;35,CM 3+,21:00,Raremon
ver5,Ultimate,214,129;94;148,WIN 12/15,24:00,MetalTyrannomon
ver5,Ultimate,197,115;114;111,WIN 12/15,24:00,Datamon (Nanomon) (canon dead end)
ver5,Ultimate,239,112,WIN 12/15,24:00,ExTyrannomon
ver5,Mega,276,214,CM 0-2,24:00,Machinedramon (Mugendramon)
ver5,Mega,277,239,CM 0-2,22:00,Puppetmon (Pinochimon)
ver5,Mega,393,276,JOGRESS 396,24:00,RustTyrannomon (jogress with Aegisdramon; canon Tag Battle capstone)
sakumon,Fresh,1444,egg,TIME,20:00,Sakumon
sakumon,InTraining,1499,1444,TIME,21:00,Sakuttomon
sakumon,Rookie,67,1499,CM 0-2,22:00,Zubamon
sakumon,Rookie,66,1499,CM 3+,22:00,Hackmon
sakumon,Champion,161,67;66,"CM 0-2, TR 16+",23:00,Zubaeagermon
sakumon,Champion,160,67;66,"CM 0-2, TR 0-15",23:00,BaoHackmon
sakumon,Champion,116,67;66,TIME,21:00,Numemon
sakumon,Ultimate,369,161,WIN 12/15,24:00,Duramon
sakumon,Ultimate,371,160,WIN 12/15,24:00,SaviorHackmon
sakumon,Ultimate,1554,116,WIN 12/15,23:00,Chaperomon
sakumon,Mega,370,369,CM 0-2,24:00,Durandamon
sakumon,Mega,372,371,CM 0-2,24:00,Jesmon
sakumon,Mega,1555,1554,CM 0-2,23:00,Cendrillmon
pichimon,Fresh,1417,egg,TIME,20:00,Pichimon
pichimon,InTraining,16,1417,CM 0-2,21:00,Tsunomon
pichimon,InTraining,1463,1417,TIME,21:00,Bukamon
pichimon,Rookie,450,16,TIME,22:00,Bearmon
pichimon,Rookie,385,1463,TIME,22:00,Lunamon
pichimon,Champion,445,450,TIME,23:00,Dobermon
pichimon,Champion,388,385,TIME,23:00,Lekismon
pichimon,Ultimate,424,445,WIN 12/15,23:00,Volcamon
pichimon,Ultimate,391,388,WIN 12/15,23:00,Crescemon
pichimon,Mega,394,424,CM 0-2,23:00,Apollomon
pichimon,Mega,377,391,CM 0-2,24:00,Dianamon
mokumon,Fresh,1418,egg,TIME,20:00,Mokumon
mokumon,InTraining,23,1418,TIME,21:00,Kapurimon
mokumon,Rookie,669,23,CM 0-2,21:00,Ekakimon
mokumon,Rookie,28,23,CM 3+,21:00,Gotsumon
mokumon,Champion,456,669,"CM 0-2, TR 16+",22:00,Kogamon
mokumon,Champion,807,669,"CM 0-2, TR 0-15",22:00,Rockmon
mokumon,Champion,117,669,TIME,21:00,Sukamon
mokumon,Champion,113,28,"CM 0-2, TR 16+",22:00,Tortamon
mokumon,Champion,134,28,"CM 0-2, TR 0-15",22:00,Tankmon
mokumon,Champion,117,28,TIME,21:00,Sukamon
mokumon,Ultimate,217,456;134,WIN 12/15,23:00,SkullMeramon
mokumon,Ultimate,265,807,WIN 12/15,23:00,SuperStarmon
mokumon,Ultimate,778,117,WIN 12/15,23:00,KingSukamon
mokumon,Ultimate,229,113,WIN 12/15,23:00,Zudomon
mokumon,Mega,310,217,CM 0-2,23:00,Beelzemon
mokumon,Mega,286,265,CM 0-2,23:00,HerculesKabuterimon
mokumon,Mega,1555,778,CM 0-2,23:00,Cendrillmon
mokumon,Mega,301,229,CM 0-2,23:00,Vikemon
nyokimon,Fresh,1419,egg,TIME,20:00,Nyokimon
nyokimon,InTraining,903,1419,TIME,21:00,Budmon
nyokimon,Rookie,38,903,CM 0-2,21:00,ToyAgumon
nyokimon,Rookie,42,903,CM 3+,21:00,Hagurumon
nyokimon,Champion,89,38,"CM 0-2, BTL 4+",22:00,Guardromon
nyokimon,Champion,92,38,CM 0-2,22:00,Flarerizamon
nyokimon,Champion,116,38,TIME,21:00,Numemon
nyokimon,Champion,89,42,"CM 0-2, BTL 4+",22:00,Guardromon
nyokimon,Champion,133,42,CM 0-2,22:00,Mechanorimon
nyokimon,Champion,116,42,TIME,21:00,Numemon
nyokimon,Ultimate,419,89,BTL 12+,23:00,CatchMamemon
nyokimon,Ultimate,227,92,BTL 12+,23:00,Triceramon
nyokimon,Ultimate,192,116,BTL 12+,23:00,Monzaemon
nyokimon,Ultimate,791,133,BTL 12+,23:00,Valvemon
nyokimon,Mega,344,419,KO6 2+,23:00,PrinceMamemon
nyokimon,Mega,304,227,KO6 2+,23:00,Imperialdramon
nyokimon,Mega,305,192,KO6 2+,23:00,Cherubimon
nyokimon,Mega,594,791,KO6 2+,23:00,Quartzmon
choromon,Fresh,1420,egg,TIME,20:00,Choromon
choromon,InTraining,19,1420,TIME,21:00,Motimon
choromon,Rookie,48,19,CM 0-2,21:00,Tentomon
choromon,Rookie,72,19,CM 3+,21:00,Lalamon
choromon,Champion,112,48,"CM 0-2, BTL 4+",21:00,Raremon
choromon,Champion,131,48,CM 0-2,22:00,Woodmon
choromon,Champion,118,48,TIME,21:00,Nanimon
choromon,Champion,131,72,"CM 0-2, BTL 4+",22:00,Woodmon
choromon,Champion,665,72,CM 0-2,22:00,Shortmon
choromon,Champion,118,72,TIME,21:00,Nanimon
choromon,Ultimate,421,112,BTL 12+,23:00,SkullSatamon
choromon,Ultimate,228,131,BTL 12+,23:00,Okuwamon
choromon,Ultimate,1222,118,BTL 12+,23:00,Vademon X
choromon,Ultimate,795,665,BTL 12+,23:00,Weddinmon
choromon,Mega,328,421;228,KO6 2+,23:00,Diaboromon
choromon,Mega,373,1222,KO6 2+,23:00,Ebemon
choromon,Mega,285,795,KO6 2+,23:00,Rosemon
kuramon,Fresh,1421,egg,TIME,20:00,Kuramon
kuramon,InTraining,401,1421,TIME,21:00,Arkadimon II
kuramon,Rookie,80,401,CM 0-2,21:00,Psychemon
kuramon,Rookie,36,401,CM 3+,21:00,Tsukaimon
kuramon,Champion,363,80,"CM 0-2, TR 16+",22:00,NiseDrimogemon
kuramon,Champion,152,80,"CM 0-2, TR 0-15",22:00,Ankylomon
kuramon,Champion,117,80,TIME,21:00,Sukamon
kuramon,Champion,90,36,"CM 0-2, TR 16+",23:00,Airdramon
kuramon,Champion,99,36,"CM 0-2, TR 0-15",22:00,Wizarmon
kuramon,Champion,117,36,TIME,21:00,Sukamon
kuramon,Ultimate,261,363;152,WIN 12/15,23:00,Meteormon
kuramon,Ultimate,778,117,WIN 12/15,23:00,KingSukamon
kuramon,Ultimate,642,90,WIN 12/15,23:00,Sinduramon
kuramon,Ultimate,260,99,WIN 12/15,23:00,Lucemon FM
kuramon,Mega,597,261,CM 0-2,23:00,Lampmon
kuramon,Mega,319,778,CM 0-2,23:00,PlatinumNumemon
kuramon,Mega,292,642,CM 0-2,23:00,Phoenixmon
kuramon,Mega,302,260,CM 0-2,23:00,Seraphimon
chibickmon,Fresh,1422,egg,TIME,20:00,Chibickmon
chibickmon,InTraining,679,1422,TIME,21:00,Kozenimon
chibickmon,Rookie,682,679,CM 0-2,21:00,Dondokomon
chibickmon,Rookie,66,679,CM 3+,22:00,Hackmon
chibickmon,Champion,837,682,"CM 0-2, TR 16+",22:00,Damemon
chibickmon,Champion,159,682,"CM 0-2, TR 0-15",22:00,ShellNumemon
chibickmon,Champion,116,682,TIME,21:00,Numemon
chibickmon,Champion,125,66,"CM 0-2, TR 16+",22:00,Monochromon
chibickmon,Champion,153,66,"CM 0-2, TR 0-15",22:00,XVeemon
chibickmon,Champion,116,66,TIME,21:00,Numemon
chibickmon,Ultimate,852,837,WIN 12/15,23:00,ChoHakkaimon
chibickmon,Ultimate,482,159,WIN 12/15,23:00,Shawjinmon
chibickmon,Ultimate,192,116,WIN 12/15,23:00,Monzaemon
chibickmon,Ultimate,365,125,WIN 12/15,23:00,Vermilimon
chibickmon,Ultimate,625,153,WIN 12/15,23:00,Brachimon
chibickmon,Mega,335,852;482,CM 0-2,23:00,Craniumon
chibickmon,Mega,307,192,CM 0-2,23:00,Sakuyamon
chibickmon,Mega,285,365,CM 0-2,23:00,Rosemon
chibickmon,Mega,309,625,CM 0-2,23:00,MegaGargomon
tsubumon,Fresh,1423,egg,TIME,20:00,Tsubumon
tsubumon,InTraining,17,1423,TIME,21:00,Gigimon
tsubumon,Rookie,30,17,CM 0-2,21:00,Candlemon
tsubumon,Rookie,40,17,CM 3+,21:00,Guilmon
tsubumon,Champion,665,30,"CM 0-2, BTL 4+",22:00,Shortmon
tsubumon,Champion,96,30,CM 0-2,22:00,ShimaUnimon
tsubumon,Champion,118,30,TIME,21:00,Nanimon
tsubumon,Champion,85,40,"CM 0-2, BTL 4+",22:00,Growmon
tsubumon,Champion,144,40,CM 0-2,22:00,Veedramon
tsubumon,Champion,118,40,TIME,21:00,Nanimon
tsubumon,Ultimate,795,665,BTL 12+,23:00,Weddinmon
tsubumon,Ultimate,195,96;85;144,BTL 12+,24:00,SkullGreymon
tsubumon,Ultimate,1222,118,BTL 12+,23:00,Vademon X
tsubumon,Mega,711,795,KO6 2+,23:00,QueenChessmon
tsubumon,Mega,345,195,KO6 2+,23:00,Chaosdramon
tsubumon,Mega,602,1222,KO6 2+,23:00,Babamon
pururumon,Fresh,1424,egg,TIME,20:00,Pururumon
pururumon,InTraining,979,1424,TIME,21:00,TorikaraBallmon
pururumon,Rookie,790,979,CM 0-2,21:00,Chuchumon
pururumon,Rookie,73,979,CM 3+,21:00,Chuumon
pururumon,Champion,165,790,TR 16+,22:00,PlatinumSukamon
pururumon,Champion,189,790,TR 5-15,22:00,Youkomon
pururumon,Champion,117,790,TIME,21:00,Sukamon
pururumon,Champion,165,73,TR 16+,22:00,PlatinumSukamon
pururumon,Champion,166,73,TR 5-15,22:00,Geremon
pururumon,Champion,117,73,TIME,21:00,Sukamon
pururumon,Ultimate,625,165;166,WIN 12/15,23:00,Brachimon
pururumon,Ultimate,247,189,WIN 12/15,23:00,Taomon
pururumon,Ultimate,252,117,WIN 12/15,23:00,BlackKingNumemon
pururumon,Mega,309,625,"CM 0-2, TR 10+",23:00,MegaGargomon
pururumon,Mega,303,247,"CM 0-2, TR 10+",23:00,Ophanimon
pururumon,Mega,1355,252,"CM 0-2, TR 10+",23:00,Cthyllamon
puttimon,Fresh,1427,egg,TIME,20:00,Puttimon
puttimon,InTraining,900,1427,TIME,21:00,Moonmon
puttimon,Rookie,61,900,CM 0-2,21:00,Lopmon
puttimon,Rookie,385,900,CM 3+,24:00,Lunamon
puttimon,Champion,144,61,"CM 0-2, BTL 4+",22:00,Veedramon
puttimon,Champion,154,61,CM 0-2,22:00,Gargomon
puttimon,Champion,118,61,TIME,21:00,Nanimon
puttimon,Champion,136,385,"CM 0-2, BTL 4+",23:00,Frigimon
puttimon,Champion,150,385,CM 0-2,23:00,Coredramon
puttimon,Champion,118,385,TIME,21:00,Nanimon
puttimon,Ultimate,214,144,BTL 12+,24:00,MetalTyrannomon
puttimon,Ultimate,243,154,BTL 12+,23:00,Andiramon
puttimon,Ultimate,199,118;136,BTL 12+,23:00,Vademon
puttimon,Ultimate,272,150,BTL 12+,23:00,WarGrowmon
puttimon,Mega,311,214,KO6 2+,23:00,UlforceVeedramon
puttimon,Mega,341,243,KO6 2+,23:00,Lilithmon
puttimon,Mega,650,199,KO6 2+,23:00,Parallelmon
puttimon,Mega,299,272,KO6 2+,23:00,WarGreymon
kiimon,Fresh,1428,egg,TIME,20:00,Kiimon
kiimon,InTraining,1481,1428,TIME,21:00,Yaamon
kiimon,Rookie,870,1481,CM 0-2,21:00,Gomamon X
kiimon,Rookie,871,1481,CM 3+,21:00,Herissmon
kiimon,Champion,107,870,"CM 0-2, BTL 4+",22:00,Ikkakumon
kiimon,Champion,593,870,CM 0-2,22:00,Chakmon
kiimon,Champion,997,870,TIME,22:00,Numemon X
kiimon,Champion,110,871,"CM 0-2, BTL 4+",23:00,Seadramon
kiimon,Champion,411,871,CM 0-2,22:00,Sangloupmon
kiimon,Champion,117,871,TIME,21:00,Sukamon
kiimon,Ultimate,249,107,BTL 12+,23:00,Rapidmon
kiimon,Ultimate,205,593,BTL 12+,23:00,MarineDevimon
kiimon,Ultimate,905,997,BTL 12+,23:00,Stefilmon
kiimon,Ultimate,367,110,BTL 12+,23:00,WaruSeadramon
kiimon,Ultimate,425,411,BTL 12+,23:00,Matadormon
kiimon,Ultimate,252,117,BTL 12+,23:00,BlackKingNumemon
kiimon,Mega,327,249,KO6 2+,23:00,Sleipmon
kiimon,Mega,340,205;367,KO6 2+,23:00,Leviamon
kiimon,Mega,366,905,KO6 2+,23:00,GigaSeadramon
kiimon,Mega,430,425,KO6 2+,23:00,GranDracmon
kiimon,Mega,1355,252,KO6 2+,23:00,Cthyllamon
dokimon,Fresh,1429,egg,TIME,20:00,Dokimon
dokimon,InTraining,890,1429,TIME,21:00,Wanyamon
dokimon,Rookie,71,890,CM 0-2,21:00,Gaomon
dokimon,Rookie,450,890,CM 3+,21:00,Bearmon
dokimon,Champion,104,71,"CM 0-2, TR 16+",22:00,Leomon
dokimon,Champion,145,71,"CM 0-2, TR 0-15",22:00,Togemon
dokimon,Champion,118,71,TIME,21:00,Nanimon
dokimon,Champion,104,450,"CM 0-2, TR 16+",22:00,Leomon
dokimon,Champion,130,450,"CM 0-2, TR 0-15",22:00,Kiwimon
dokimon,Champion,118,450,TIME,21:00,Nanimon
dokimon,Ultimate,263,104;130,WIN 12/15,23:00,GrapLeomon
dokimon,Ultimate,218,145,WIN 12/15,23:00,Lilymon
dokimon,Ultimate,1222,118,WIN 12/15,23:00,Vademon X
dokimon,Mega,333,263,CM 0-2,23:00,Dynasmon
dokimon,Mega,374,218,CM 0-2,23:00,Lotusmon
dokimon,Mega,508,374,JOGRESS 285,23:00,Rafflesimon
dokimon,Mega,1316,1222,CM 0-2,23:00,Ebemon X
chibomon,Fresh,1430,egg,TIME,20:00,Chibomon
chibomon,InTraining,1483,1430,TIME,21:00,DemiVeemon
chibomon,Rookie,39,1483,CM 0-2,21:00,Penguinmon
chibomon,Rookie,52,1483,CM 3+,21:00,Syakomon
chibomon,Champion,812,39,TR 16+,22:00,Akatorimon
chibomon,Champion,105,39,TR 5-15,22:00,Octomon
chibomon,Champion,117,39,TIME,21:00,Sukamon
chibomon,Champion,105,52,TR 16+,22:00,Octomon
chibomon,Champion,128,52,TR 5-15,22:00,Gesomon
chibomon,Champion,117,52,TIME,21:00,Sukamon
chibomon,Ultimate,642,812,WIN 12/15,23:00,Sinduramon
chibomon,Ultimate,235,105,WIN 12/15,23:00,Blossomon
chibomon,Ultimate,778,117,WIN 12/15,23:00,KingSukamon
chibomon,Ultimate,880,128,WIN 12/15,23:00,MarinChimairamon
chibomon,Mega,428,642,"CM 0-2, TR 10+",23:00,Valdurmon
chibomon,Mega,463,235,"CM 0-2, TR 10+",23:00,Ceresmon
chibomon,Mega,319,778,"CM 0-2, TR 10+",23:00,PlatinumNumemon
chibomon,Mega,1565,880,"CM 0-2, TR 10+",23:00,Skadimon
ketomon,Fresh,1433,egg,TIME,20:00,Ketomon
ketomon,InTraining,945,1433,TIME,21:00,Kyokyomon
ketomon,Rookie,406,945,CM 0-2,21:00,Ryudamon
ketomon,Rookie,835,945,CM 3+,21:00,Guilmon X
ketomon,Champion,153,406,"CM 0-2, TR 16+",22:00,XVeemon
ketomon,Champion,158,406,"CM 0-2, TR 0-15",23:00,Coredramon
ketomon,Champion,997,406,TIME,22:00,Numemon X
ketomon,Champion,833,835,"CM 0-2, TR 16+",22:00,Tyrannomon X
ketomon,Champion,834,835,"CM 0-2, TR 0-15",22:00,Growmon X
ketomon,Champion,997,835,TIME,22:00,Numemon X
ketomon,Ultimate,220,153,WIN 12/15,23:00,MetalGreymon
ketomon,Ultimate,272,158,WIN 12/15,23:00,WarGrowmon
ketomon,Ultimate,923,997,WIN 12/15,23:00,JagerLoweemon
ketomon,Ultimate,853,833;834,WIN 12/15,23:00,MetalTyrannomon X
ketomon,Mega,347,220,CM 0-2,23:00,VictoryGreymon
ketomon,Mega,352,272,CM 0-2,23:00,ChaosGallantmon
ketomon,Mega,634,923,CM 0-2,23:00,Bagramon
ketomon,Mega,393,853,CM 0-2,24:00,RustTyrannomon
leafmon,Fresh,1434,egg,TIME,20:00,Leafmon
leafmon,InTraining,959,1434,TIME,21:00,Puroromon
leafmon,Rookie,358,959,CM 0-2,21:00,Dokunemon
leafmon,Rookie,404,959,CM 3+,21:00,Fanbeemon
leafmon,Champion,127,358,"CM 0-2, TR 16+",22:00,Dokugumon
leafmon,Champion,148,358,"CM 0-2, TR 0-15",24:00,Flymon
leafmon,Champion,116,358,TIME,21:00,Numemon
leafmon,Champion,156,404,"CM 0-2, TR 16+",22:00,Stingmon
leafmon,Champion,184,404,"CM 0-2, TR 0-15",22:00,Waspmon
leafmon,Champion,997,404,TIME,22:00,Numemon X
leafmon,Ultimate,259,127;156,WIN 12/15,23:00,Infermon
leafmon,Ultimate,266,148;184,WIN 12/15,23:00,CannonBeemon
leafmon,Ultimate,192,116,WIN 12/15,23:00,Monzaemon
leafmon,Ultimate,1223,997,WIN 12/15,23:00,Myotismon X
leafmon,Mega,427,259,CM 0-2,23:00,Arkadimon VI
leafmon,Mega,376,266,CM 0-2,23:00,TigerVespamon
leafmon,Mega,1348,192,CM 0-2,23:00,ShinMonzaemon
leafmon,Mega,615,1223,CM 0-2,23:00,MetalPiranimon
petitmon,Fresh,1437,egg,TIME,20:00,Petitmon
petitmon,InTraining,1492,1437,TIME,21:00,Babydmon
petitmon,Rookie,57,1492,TIME,23:00,Dracomon
petitmon,Champion,150,57,"CM 0-2, TR 16+",23:00,Coredramon (Blue)
petitmon,Champion,158,57,TIME,23:00,Coredramon (Green)
petitmon,Ultimate,242,150,WIN 12/15,24:00,Wingdramon
petitmon,Ultimate,250,158,WIN 12/15,24:00,Groundramon
petitmon,Mega,315,242,CM 0-2,24:00,Slayerdramon
petitmon,Mega,316,250,CM 0-2,24:00,Breakdramon
zerimon,Fresh,1445,egg,TIME,20:00,Zerimon
zerimon,InTraining,20,1445,TIME,21:00,Bukamon
zerimon,Rookie,35,20,CM 0-2,23:00,Gizamon
zerimon,Rookie,50,20,CM 3+,21:00,Gomamon
zerimon,Champion,111,35,TR 16+,24:00,Deltamon
zerimon,Champion,137,35,TR 5-15,22:00,Ebidramon
zerimon,Champion,117,35,TIME,21:00,Sukamon
zerimon,Champion,137,50,TR 16+,22:00,Ebidramon
zerimon,Champion,542,50,TR 5-15,22:00,Tylomon
zerimon,Champion,117,50,TIME,21:00,Sukamon
zerimon,Ultimate,1519,111,WIN 12/15,23:00,Cargodramon
zerimon,Ultimate,880,137,WIN 12/15,23:00,MarinChimairamon
zerimon,Ultimate,252,117,WIN 12/15,23:00,BlackKingNumemon
zerimon,Ultimate,235,542,WIN 12/15,23:00,Blossomon
zerimon,Mega,860,1519,"CM 0-2, TR 10+",23:00,MetalGarurumon X
zerimon,Mega,1565,880,"CM 0-2, TR 10+",23:00,Skadimon
zerimon,Mega,1355,252,"CM 0-2, TR 10+",23:00,Cthyllamon
zerimon,Mega,342,235,"CM 0-2, TR 10+",23:00,Barbamon
cocomon,Fresh,1446,egg,TIME,20:00,Cocomon
cocomon,InTraining,1501,1446,TIME,21:00,Chocomon
cocomon,Rookie,487,1501,CM 0-2,21:00,Phascomon
cocomon,Rookie,1065,1501,CM 3+,21:00,Lopmon X
cocomon,Champion,490,487,"CM 0-2, TR 16+",22:00,Porcupamon
cocomon,Champion,493,487,"CM 0-2, TR 0-15",22:00,Troopmon
cocomon,Champion,116,487,TIME,21:00,Numemon
cocomon,Champion,1027,1065,"CM 0-2, TR 16+",22:00,Gatomon X
cocomon,Champion,1028,1065,"CM 0-2, TR 0-15",22:00,Wizarmon X
cocomon,Champion,116,1065,TIME,21:00,Numemon
cocomon,Ultimate,499,490,WIN 12/15,23:00,Astamon
cocomon,Ultimate,447,493,WIN 12/15,23:00,Tankdramon
