FoodIdentificationNum,SpriteSet,SpriteNum,Name,Name_pt,Name_es,Description,Description_pt,Description_es,DefaultPrice,Hunger,Strength,Energy,Obedience,Enthusiasm,Mood,Calories,Weight,BMGauge,Seconds,Vaccine,Data,Virus,Health,Recovered,Cured,Healed,FatiguedRelieved,DepressedRelieved,FavFood,FavTime,NewPersonality,FavAttribute,Mistake,Type,Sleep,SleepLapse,Temp,GiftChance/100,ShopUnlocked,CanUnlock,DispositionChange,GluttonChange,RestlessChange,Proteins,Vitamins,Minerals,Glutton,Restless,Disposition,CanInc,CanDec,StartingQuantity,ShowInInventory,MaxUses,DefaultStockChance(SpringSummerFallWinter),DefaultMaxStock,DefaultMinStock,DefaultTimeAvailable(HtH;SpringSummerFallWinter),DefaultMustStock,UsesPerFood,DefaultSaleChance(SpringSummerFallWinter),DefaultSaleFactor,DefaultResellFactor,HealLapseChange,CureLapseChange,FatigueLapseChange,EvolProbChange,MaxHoursBeforeSleep,EffectID,Disturb,ListPriority,ChangeToPrefTemp,MissedDay,ForceUse,ForceUseWhenAsleep,FoodID,ItemID
10,0,44,Vaccine Chip,Vaccine Chip,Vaccine Chip,+Vaccine +Stress -Mood,+Vaccine +Stress -Mood,+Vaccine +Stress -Mood,1500,0,0,0,0,-10,-10,0,0,0,0,15,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
11,0,48,Data Chip,Data Chip,Data Chip,+Data +Stress -Mood,+Data +Stress -Mood,+Data +Stress -Mood,1500,0,0,0,0,-10,-10,0,0,0,0,0,15,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
12,0,52,Virus Chip,Virus Chip,Virus Chip,+Virus +Stress -Mood,+Virus +Stress -Mood,+Virus +Stress -Mood,1500,0,0,0,0,-10,-10,0,0,0,0,0,0,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
13,0,56,Mushroom,Mushroom,Mushroom,+Obedience -Mood,+Obedience -Mood,+Obedience -Mood,150,1,0,0,5,0,-25,1,0,8,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,4,6,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
14,0,60,Tuna,Tuna,Tuna,+Hunger +Mood -Stress,+Hunger +Mood -Stress,+Hunger +Mood -Stress,300,2,0,0,0,5,10,4,0,4,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Fish,FALSE,0,0,0,TRUE,TRUE,0,0,0,5,0,5,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
15,0,64,Elixir,Elixir,Elixir,Recovers Illness,Recovers Illness,Recovers Illness,2000,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,0,0,true,true,0,TRUE,99,100;100;100;100,5,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
16,0,68,Vitamin G,Vitamin G,Vitamin G,Recovers Injury,Recovers Injury,Recovers Injury,2000,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,10,0,0,0,0,true,true,0,TRUE,99,100;100;100;100,5,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
17,0,72,Energy<br>Drink,Energy<br>Drink,Energy<br>Drink,+Energy -Stress -Mood,+Energy -Stress -Mood,+Energy -Stress -Mood,1500,0,0,7,0,10,-50,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,5,5,0,-1,0,true,true,0,TRUE,99,100;100;100;100,5,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
18,0,76,Miracle<br>Drink,Miracle<br>Drink,Miracle<br>Drink,+Energy -Mood -Mistake -Life,+Energy -Mood -Mistake -Life,+Energy -Mood -Mistake -Life,7777,0,0,12,0,10,-10,0,0,0,-21600,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,-1,Med,FALSE,0,0,0,TRUE,TRUE,0,0,0,4,4,4,0,0,0,true,true,0,TRUE,99,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
19,0,80,Gold Pill,Gold Pill,Gold Pill,+Energy +Stress <br>-Mood +Life,+Energy +Stress <br>-Mood +Life,+Energy +Stress <br>-Mood +Life,10000,0,0,12,0,-10,-10,0,0,0,43200,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,10,0,0,0,0,true,true,0,TRUE,99,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,1,FALSE,FALSE,-1,-1
20,0,84,Vaccine<br>Chip G,Vaccine<br>Chip G,Vaccine<br>Chip G,+Vaccine +Stress -Mood,+Vaccine +Stress -Mood,+Vaccine +Stress -Mood,3000,0,0,0,0,-10,-10,0,0,0,0,30,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,-1,0,0,0,0,0,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
21,0,88,Data Chip G,Data Chip G,Data Chip G,+Data +Stress -Mood,+Data +Stress -Mood,+Data +Stress -Mood,3000,0,0,0,0,-10,-10,0,0,0,0,0,30,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,-1,0,0,0,0,0,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
22,0,92,Virus Chip G,Virus Chip G,Virus Chip G,+Virus +Stress -Mood,+Virus +Stress -Mood,+Virus +Stress -Mood,3000,0,0,0,0,-10,-10,0,0,0,0,0,0,30,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,-1,0,0,0,0,0,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
23,0,96,Slim Drink,Slim Drink,Slim Drink,+Stress -Mood <br>-Weight,+Stress -Mood <br>-Weight,+Stress -Mood <br>-Weight,100,0,0,0,0,-10,-10,0,-2,12,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,1,0,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
24,0,100,Bread,Bread,Bread,+Mood,+Mood,+Mood,100,1,0,0,0,1,30,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Grain,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,1,9,0,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
25,0,104,Supplement,Supplement,Supplement,+Strength +Obedience +Stress -Mood,+Strength +Obedience +Stress -Mood,+Strength +Obedience +Stress -Mood,100,0,4,0,5,-10,-10,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,0,0,0,-1,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-1,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
26,0,108,HP Chip,HP Chip,HP Chip,+HP +Stress -Mood,+HP +Stress -Mood,+HP +Stress -Mood,1500,0,0,0,0,-10,-10,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
27,0,112,HP Chip G,HP Chip G,HP Chip G,+HP +Stress -Mood,+HP +Stress -Mood,+HP +Stress -Mood,3000,0,0,0,0,-10,-10,0,0,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,0,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
28,0,116,Giga Meal,Giga Meal,Giga Meal,+Hunger +Strength +Energy +Mood,+Hunger +Strength +Energy +Mood,+Hunger +Strength +Energy +Mood,750,4,2,4,0,0,30,8,0,10,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Meat;Veg;Grain,FALSE,0,0,0,TRUE,TRUE,0,0,0,16,12,12,0,0,0,true,true,0,TRUE,99,100;100;100;100,10,5,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
29,0,120,Rice,Rice,Rice,+Mood -Stress,+Mood -Stress,+Mood -Stress,100,1,0,0,0,2,10,4,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Grain,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,2,8,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
30,0,124,Bitter Herbs,Bitter Herbs,Bitter Herbs,+Obedience -Mood +Stress -Fatigue,+Obedience -Mood +Stress -Fatigue,+Obedience -Mood +Stress -Fatigue,750,0,0,0,5,-5,-50,1,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,-1,0,0,0,5,5,0,0,-1,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
31,0,128,Honey,Honey,Honey,-Obedience -Stress +Energy +Health,-Obedience -Stress +Energy +Health,-Obedience -Stress +Energy +Health,500,1,0,1,-5,10,30,3,0,2,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,2,8,0,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-2,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
32,0,132,Omni Chip,Omni Chip,Omni Chip,+Attributes +Stress -Mood,+Attributes +Stress -Mood,+Attributes +Stress -Mood,4000,0,0,0,0,-10,-10,0,0,0,0,15,15,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,-1,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,5,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
33,0,136,Omni Chip G,Omni Chip G,Omni Chip G,+Attributes +Stress -Mood,+Attributes +Stress -Mood,+Attributes +Stress -Mood,8000,0,0,0,0,-10,-10,0,0,0,0,30,30,30,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,100,TRUE,TRUE,0,0,-1,0,0,0,0,-1,-1,true,true,0,TRUE,99,20;20;20;20,5,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
34,0,140,Sleeping<br>Pill,Sleeping<br>Pill,Sleeping<br>Pill,+Stress -Mood <br>Causes Sleep,+Stress -Mood <br>Causes Sleep,+Stress -Mood <br>Causes Sleep,500,0,0,0,0,-10,-30,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,TRUE,0,0,0,TRUE,TRUE,0,0,0,0,0,0,0,1,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
35,0,144,Yellow Pepper,Yellow Pepper,Yellow Pepper,+Virus +Obedience <br>-Mood,+Virus +Obedience <br>-Mood,+Virus +Obedience <br>-Mood,100,1,0,0,1,-1,-10,1,0,4,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,0,10,0,0,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
36,0,148,Green Pepper,Green Pepper,Green Pepper,+Data +Obedience <br>-Mood,+Data +Obedience <br>-Mood,+Data +Obedience <br>-Mood,100,1,0,0,1,-1,-10,1,0,4,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,0,10,0,0,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
37,0,152,Red Pepper,Red Pepper,Red Pepper,+Vaccine +Obedience <br>-Mood,+Vaccine +Obedience <br>-Mood,+Vaccine +Obedience <br>-Mood,100,1,0,0,1,-1,-10,1,0,4,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,0,10,0,0,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
38,0,156,Caffeine<br>Pill,Caffeine<br>Pill,Caffeine<br>Pill,+Boredom -Mood -Tiredness,+Boredom -Mood -Tiredness,+Boredom -Mood -Tiredness,500,0,0,0,0,10,-30,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,-4,0,0,TRUE,TRUE,0,0,0,0,0,0,0,-1,0,true,true,0,TRUE,99,100;100;100;100,10,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-2,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
39,0,160,Ice Cream,Ice Cream,Ice Cream,-Obedience +Mood -Temperature,-Obedience +Mood -Temperature,-Obedience +Mood -Temperature,150,1,0,0,-1,0,30,4,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk;Dairy,FALSE,0,-10,0,TRUE,TRUE,0,1,0,2,1,1,1,0,1,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-1,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
40,0,164,Chicken Soup,Chicken Soup,Chicken Soup,+Mood +Temperature,+Mood +Temperature,+Mood +Temperature,150,1,0,0,0,0,10,3,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Meat,FALSE,0,10,0,TRUE,TRUE,0,0,0,5,2,3,0,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
41,0,168,Food Pill,Food Pill,Food Pill,+Hunger -Mood +Obedience +Stress,+Hunger -Mood +Obedience +Stress,+Hunger -Mood +Obedience +Stress,100,4,0,0,5,-10,-10,6,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,TRUE,TRUE,0,-1,0,8,1,1,-1,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
42,0,172,Orange,Orange,Orange,-Obedience -Stress -Fatigue,-Obedience -Stress -Fatigue,-Obedience -Stress -Fatigue,300,1,0,0,-1,5,15,1,0,4,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Fruit,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,10,0,0,0,0,TRUE,TRUE,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-1,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
43,0,104,AI Supplement,AI Supplement,AI Supplement,+Strength,+Strength,+Strength,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,-1,0,FALSE,FALSE,0,FALSE,0,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
44,0,168,AI Food Pill,AI Food Pill,AI Food Pill,+Hunger,+Hunger,+Hunger,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,FALSE,FALSE,0,-1,0,0,1,1,-1,0,0,FALSE,FALSE,0,FALSE,0,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
