Egg (Each condition must be fulfilled to unlock egg: if price > 0 then fulfilling each condition will make it available in the shop and buying it will unlock the egg permanently: if price = 0 and each condition is fulfilled then this will unlock the egg permanently: temporary conditions unlock the egg for as long as the condition(s) is/are fulfilled),Unlocked,Price,MapComplete,StageReached,HasXAntibody(Temp),TournamentBeat,ZoneEnemyBeat (Map:Zone:EnemyLocation),CurrentGenerationReached,PreviousGenerationField(Temp),PreviousGenerationAttribute(Temp),PreviousGenerationElement(Temp),MonsterInHistory(List with : ),FoodUsed,ItemUsed,HabitatOwned,Password,Obedience,PreviousGenerationObedience(Temp),Mood,PreviousGenerationMood(Temp),LockedDescription,CanUnlockPermanently,LifetimeWins,AlbumCount,MegaKills,Connections,Storefront,FestivalsCelebrated
Deep Savers Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,DeepSaver,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Deep Savers,TRUE,-1,-1,-1,-1,,-1
Egg X3,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,X-Antibody + fell 10 Mega-class foes,TRUE,-1,-1,10,-1,,-1
Draco Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Record 18 species in the album,TRUE,,18,,-1,,-1
Hack Egg,FALSE,0,-1,None,FALSE,187,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win Fall Open #188,TRUE,-1,-1,-1,-1,,-1
Kera Egg,FALSE,0,-1,Champion,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Reach the Champion stage,TRUE,-1,-1,-1,-1,,-1
Lalamon Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,120,-1,-1,A devoted lineage: obedience 120+,FALSE,-1,-1,-1,-1,,-1
Lop Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Befriend a tamer online,TRUE,-1,-1,-1,1,,-1
Luna Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 4 tamers online,TRUE,-1,-1,-1,4,,-1
Meicoo Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 5 tamers online,TRUE,-1,-1,-1,5,,-1
Metal Empire Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,MetalEmpire,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Metal Empire,TRUE,-1,-1,-1,-1,,-1
Nightmare Soldiers Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,NightmareSoldier,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Nightmare Soldiers,TRUE,-1,-1,-1,-1,,-1
Ryuda Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,DragonsRoar,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a dragon,FALSE,-1,-1,-1,-1,,-1
Slayerdra Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,A slayer's line: 30 lifetime wins,TRUE,30,,,-1,,-1
Terrier Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Befriend 2 tamers online,TRUE,-1,-1,-1,2,,-1
V Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,V is for victory: win 25 battles,TRUE,25,-1,-1,-1,,-1
Virus Busters Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,VirusBuster,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Virus Busters,TRUE,-1,-1,-1,-1,,-1
Virus Busters Ver. 20th Egg,FALSE,0,-1,None,FALSE,-1,-1,5,VirusBuster,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a 5th-generation lineage in Virus Busters,TRUE,-1,-1,-1,-1,,-1
Wind Guardians Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,WindGuardian,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Wind Guardians,TRUE,-1,-1,-1,-1,,-1
Zuba Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win 60 battles,TRUE,60,-1,-1,-1,,-1
Nature Spirits Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,NatureSpirit,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,End a generation in Nature Spirits,TRUE,-1,-1,-1,-1,,-1
