ItemIdentificationNum,SpriteSet,SpriteNum,Name,Name_pt,Name_es,Description,Description_pt,Description_es,DefaultPrice,Hunger,Strength,Energy (<1 * maxEnergy),Obedience,Enthusiasm,Mood,Calories,Weight,BMGauge,Seconds,Vaccine,Data,Virus,Health,Recovered,Cured,Healed,Removes Fatigue,Removes Depressed,FavFood,FavTime,NewPersonality,FavAttribute,Mistake,AnimationType,Sleep,SleepLapse,Temp,StartingUses,Disposition,AdventureLifeInc,CanIncUses,GiftChance/100,MaxUses,ShopUnlocked,MonsterID,CanUnlock,Glutton,Restless,DispositionChange,GluttonChange,RestlessChange,CanDecUses,ShowInInventory,DefaultStockChance(SpringSummerFallWinter),DefaultMaxStock,DefaultMinStock,DefaultTimeAvailable(HtH;SpringSummerFallWinter),DefaultMustStock,UsesPerItem,DefaultSaleChance(SpringSummerFallWinter),DefaultSaleFactor,DefaultResellFactor,HealLapseChange,CureLapseChange,FatigueLapseChange,EvolProbChange,MaxHoursBeforeSleep,EffectID,Disturb,ListPriority,ChangeToPrefTemp,MissedDay,ForceUse,ForceUseWhenAsleep,FoodID,ItemID,DiminishingReturns,ItemDisinterestChange,RequiresMaxBMGauge,UsableOutside,UsableInTown
10,0,90,Television,Televisão,Television,Virus to Vaccine <br>+Mood -Stress,Vírus para Vacina <br>+Humor -Estresse,Virus to Vaccine <br>+Mood -Stress,2000,0,0,0,0,5,50,0,0,0,60,15,0,-15,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,InteractTelevision,FALSE,0,0,0,0,0,TRUE,100,90,TRUE,-1,TRUE,0,-1,0,0,0,TRUE,TRUE,100;100;100;100,9,1,0t23;0t23;0t23;0t23,false,10,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,TRUE,1,FALSE,TRUE,TRUE
11,0,99,Toy Car,Carrinho,Toy Car,-Obedience +Mood -Stress ,-Obediência +Humor -Estresse ,-Obedience +Mood -Stress ,500,0,0,0,-1,5,100,0,0,0,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Play,FALSE,0,0,0,1,0,TRUE,100,80,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,4,4,0t23;0t23;0t23;0t23,false,20,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,TRUE,1,FALSE,TRUE,TRUE
12,0,108,Balloon,Balão,Balloon,+Mood,+Humor,+Mood,100,0,0,0,0,0,50,0,0,0,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Play,FALSE,0,0,0,1,0,TRUE,100,90,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,9,9,0t23;0t23;0t23;0t23,false,10,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,TRUE,1,FALSE,TRUE,TRUE
13,0,117,Trampoline,Trampolim,Trampoline,+Strength -Weight +Mood -Stress +Activity,+Força -Peso +Humor -Estresse +Atividade,+Strength -Weight +Mood -Stress +Activity,2500,0,1,0,0,5,75,-1,0,0,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Jump,FALSE,0,0,0,0,0,TRUE,0,80,TRUE,-1,TRUE,0,0,0,0,1,TRUE,TRUE,100;100;100;100,4,1,0t23;0t23;0t23;0t23,false,20,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,TRUE,1,FALSE,TRUE,TRUE
14,0,171,X-Program <br>Sample,Amostra<br>X-Program,X-Program <br>Sample,Grants a complete X-Antibody if it survives.,Grants a complete X-Antibody if it survives.,Grants a complete X-Antibody if it survives.,0,-10,-13,-0.8,0,-10,-300,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,X_Program,FALSE,0,100,0,0,0,TRUE,0,1,FALSE,-1,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,100,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
15,0,198,Courage Relic,Relic da Coragem,Courage Relic,An egg emblazoned with a symbol of courage.,Um ovo marcado com o símbolo de coragem.,An egg emblazoned with a symbol of courage.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
16,0,207,Friendship Relic,Relic da Amizade,Friendship Relic,An egg emblazoned with a symbol of friendship.,Um ovo marcado com o símbolo de amizade.,An egg emblazoned with a symbol of friendship.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
17,0,216,Love Relic,Relic do Amor,Love Relic,An egg emblazoned with a symbol of love.,Um ovo marcado com o símbolo de amor.,An egg emblazoned with a symbol of love.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
18,0,225,Purity Relic,Relic da Pureza,Purity Relic,An egg emblazoned with a symbol of purity.,Um ovo marcado com o símbolo de pureza.,An egg emblazoned with a symbol of purity.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
19,0,234,Knowledge Relic,Relic do Conhecimento,Knowledge Relic,An egg emblazoned with a symbol of knowledge.,Um ovo marcado com o símbolo de conhecimento.,An egg emblazoned with a symbol of knowledge.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
20,0,243,Sincerity Relic,Relic da Sinceridade,Sincerity Relic,An egg emblazoned with a symbol of sincerity.,Um ovo marcado com o símbolo de sinceridade.,An egg emblazoned with a symbol of sincerity.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
21,0,261,Hope Relic,Relic da Esperança,Hope Relic,An egg emblazoned with a symbol of hope.,Um ovo marcado com o símbolo de esperança.,An egg emblazoned with a symbol of hope.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
22,0,252,Light Relic,Relic da Luz,Light Relic,An egg emblazoned with a symbol of light.,Um ovo marcado com o símbolo de luz.,An egg emblazoned with a symbol of light.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
23,0,270,Kindness Relic,Relic da Bondade,Kindness Relic,An egg emblazoned with a symbol of kindness.,Um ovo marcado com o símbolo de bondade.,An egg emblazoned with a symbol of kindness.,4000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
24,0,279,Miracles Relic,Relic dos Milagres,Miracles Relic,An egg emblazoned with a symbol of miracles.,Um ovo marcado com o símbolo de milagres.,An egg emblazoned with a symbol of miracles.,6000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
25,0,288,Fate Relic,Relic do Destino,Fate Relic,An egg emblazoned with a symbol of fate.,Um ovo marcado com o símbolo de destino.,An egg emblazoned with a symbol of fate.,6000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
26,0,180,Bath,Banho,Bath,+Mood -Stress -Strength +Energy -Fatigue +Health,+Humor -Estresse -Força +Energia -Fadiga +Saúde,+Mood -Stress -Strength +Energy -Fatigue +Health,4000,0,-1,1,0,10,75,0,0,0,60,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Bathe,FALSE,0,20,0,0,0,TRUE,0,80,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,4,1,0t23;0t23;0t23;0t23,false,20,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,TRUE,1,FALSE,TRUE,TRUE
27,0,126,Life Recovery,Recuperar Vida,Life Recovery,Recovers one Datatal World life point.,Recupera um ponto de vida.,Recovers one Datatal World life point.,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Recover,FALSE,0,0,0,0,1,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,3,3,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
28,0,135,Zone<br>Transport,Transp. de<br>Zona,Zone<br>Transport,Sends to chosen zone.,Envia para zona escolhida.,Sends to chosen zone.,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,PhoenixTransport,FALSE,0,0,0,0,0,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,25;25;25;25,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
29,0,144,Town<br>Transport,Transp. de<br>Cidade,Town<br>Transport,Sends to closest town.,Envia para a cidade mais próxima.,Sends to closest town.,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,BirdraTransport,FALSE,0,0,0,0,0,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,25;25;25;25,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
30,0,153,Disaster<br>Transport,Transp. de<br>Desastre,Disaster<br>Transport,Sends to closest enemy in direction traveling.,Envia para o inimigo mais próximo na direção de viagem.,Sends to closest enemy in direction traveling.,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,GarudaTransport,FALSE,0,0,0,0,0,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,25;25;25;25,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
31,0,162,Continent<br>Transport,Transp. de<br>Continente,Continent<br>Transport,Sends to chosen continent.,Envia para o continente escolhido.,Sends to chosen continent.,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,WhaTransport,FALSE,0,0,0,0,0,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,25;25;25;25,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
32,0,189,Memory,Datamemória,Memory,Inheritance data,Dados de herança,Inheritance data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Inherit,FALSE,0,0,0,0,0,TRUE,0,1,FALSE,-1,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
33,0,297,Datatron,Datatron,Datatron,A mysterious dark fluid,Um fluido escuro misterioso,A mysterious dark fluid,6000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,TRUE,-1,TRUE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,1,1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
34,0,306,Horn Helmet,Capacete de Chifre,Horn Helmet,Used to evolve into Kabuterimon,Usado para evoluir para Kabuterimon,Used to evolve into Kabuterimon,3000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,FALSE,140,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
35,0,315,Blue Crystal,Cristal Azul,Blue Crystal,Used to evolve into Garurumon,Usado para evoluir para Garurumon,Used to evolve into Garurumon,3000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,FALSE,108,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
36,0,324,Grey Claws,Garras Cinzas,Grey Claws,Used to evolve into Greymon,Usado para evoluir para Greymon,Used to evolve into Greymon,3000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,FALSE,93,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
37,0,333,Water Bottle,Garrafa d'Água,Water Bottle,Used to evolve into Seadramon,Usado para evoluir para Seadramon,Used to evolve into Seadramon,3000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,FALSE,110,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
38,0,342,Torn Tatter,Pano Rasgado,Torn Tatter,Used to evolve into Bakemon,Usado para evoluir para Bakemon,Used to evolve into Bakemon,3000,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,ItemEvol,FALSE,0,0,0,0,0,TRUE,0,99,FALSE,121,FALSE,0,0,0,0,0,TRUE,TRUE,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1,FALSE,0,FALSE,TRUE,TRUE
